iter	RMSE
0	36.19463255
1	30.19248469
2	24.80510276
3	20.46449184
4	16.90355891
5	13.97845941
6	11.7023711
7	9.787517618
8	8.239765293
9	7.014193037
10	6.002665798
11	5.210147402
12	4.626528414
13	4.143860352
14	3.731369737
15	3.401207877
16	3.148768713
17	2.988432026
18	2.858866276
19	2.74027823
20	2.634675011
21	2.565828562
22	2.48935559
23	2.445017163
24	2.399911804
25	2.365227594
26	2.334512491
27	2.300732849
28	2.272383863
29	2.250266166
30	2.216840696
31	2.196932972
32	2.181198294
33	2.150529385
34	2.130865018
35	2.105096432
36	2.088862042
37	2.068195009
38	2.043330682
39	2.027660621
40	2.016899723
41	2.000051453
42	1.977157214
43	1.960313311
44	1.949040915
45	1.939873219
46	1.924972731
47	1.914465226
48	1.906093183
49	1.88488583
50	1.869299299
51	1.86170569
52	1.848754099
53	1.841080634
54	1.830073538
55	1.826916092
56	1.814030301
57	1.801101617
58	1.788285583
59	1.782246697
60	1.773086114
61	1.76170653
62	1.756766964
63	1.745873543
64	1.740050543
65	1.730648048
66	1.727691668
67	1.720701349
68	1.719211186
69	1.717564439
70	1.708032918
71	1.699448366
72	1.683483451
73	1.677386717
74	1.674991264
75	1.663003094
76	1.656484264
77	1.649261232
78	1.638633763
79	1.632009794
80	1.62808474
81	1.622169831
82	1.615115036
83	1.604363425
84	1.602502663
85	1.594814232
86	1.585848094
87	1.580926915
88	1.577749427
89	1.572846567
90	1.564052073
91	1.557586694
92	1.555160721
93	1.550273103
94	1.54287089
95	1.536650121
96	1.533447049
97	1.528905711
98	1.525702033
99	1.51846207
100	1.511896925
101	1.506957999
102	1.502469576
103	1.498940001
104	1.498323522
105	1.496878592
106	1.487885331
107	1.481241574
108	1.479571082
109	1.471492523
110	1.468086915
111	1.463997042
112	1.461989172
113	1.460305572
114	1.458102839
115	1.453680744
116	1.451094818
117	1.448739637
118	1.442863308
119	1.437383212
120	1.435138107
121	1.428688144
122	1.424764981
123	1.420264263
124	1.41341727
125	1.408180717
126	1.404203302
127	1.399695351
128	1.393782197
129	1.387252034
130	1.386227159
131	1.382016322
132	1.378424912
133	1.37367523
134	1.367466763
135	1.364380525
136	1.362411446
137	1.360298338
138	1.357182486
139	1.353789086
140	1.349640057
141	1.346529055
142	1.341861466
143	1.338602338
144	1.334451705
145	1.330728618
146	1.325686545
147	1.322463212
148	1.317588949
149	1.313794263
150	1.309781684
151	1.305281378
152	1.30310774
153	1.300450623
154	1.297435333
155	1.293307985
156	1.292240283
157	1.289617921
158	1.286878476
159	1.283535598
160	1.28153322
161	1.279884586
162	1.278665867
163	1.276713366
164	1.27167075
165	1.269033228
166	1.265759275
167	1.262450224
168	1.259784037
169	1.257148407
170	1.254390263
171	1.25213329
172	1.250806667
173	1.247762768
174	1.244746334
175	1.241878559
176	1.239474229
177	1.238043053
178	1.235857993
179	1.233284936
180	1.229270162
181	1.22516997
182	1.220702231
183	1.217930332
184	1.215707921
185	1.215196401
186	1.21472953
187	1.213389345
188	1.211176106
189	1.207692592
190	1.204054849
191	1.201949183
192	1.200117874
193	1.197855506
194	1.19449115
195	1.191447523
196	1.189143565
197	1.184884781
198	1.182643593
199	1.179190184
200	1.174154292
201	1.173086773
202	1.16897021
203	1.167259706
204	1.165759532
205	1.165060877
206	1.163752029
207	1.159976165
208	1.157257781
209	1.153146661
210	1.152828201
211	1.149399334
212	1.146274294
213	1.145759706
214	1.144347077
215	1.140672064
216	1.137806081
217	1.134668534
218	1.13318116
219	1.130510901
220	1.128944329
221	1.125807239
222	1.123491814
223	1.12117367
224	1.117991425
225	1.115447963
226	1.113125343
227	1.11063764
228	1.108693272
229	1.106708093
230	1.104526067
231	1.101830521
232	1.100125442
233	1.097716755
234	1.095912752
235	1.092439228
236	1.091740827
237	1.088870602
238	1.08791878
239	1.084804193
240	1.081853245
241	1.080380773
242	1.077917316
243	1.076704018
244	1.074768845
245	1.071588447
246	1.069298586
247	1.066226627
248	1.06489228
249	1.0625632
250	1.058795069
251	1.056042049
252	1.055014161
253	1.054026558
254	1.053142724
255	1.052227729
256	1.050257105
257	1.04760664
258	1.046175387
259	1.044097029
260	1.042142785
261	1.040124358
262	1.035902417
263	1.033759704
264	1.033015413
265	1.031096365
266	1.030448712
267	1.026798327
268	1.025682665
269	1.024299784
270	1.022103412
271	1.019261644
272	1.017536723
273	1.016513849
274	1.012845118
275	1.009900003
276	1.008848326
277	1.008616413
278	1.005510566
279	1.004097094
280	1.000922575
281	0.9998239742
282	0.9984064874
283	0.9958699146
284	0.993372483
285	0.9929107575
286	0.9905853386
287	0.9890310025
288	0.9847258933
289	0.9829897185
290	0.9818443563
291	0.9795496769
292	0.9785620782
293	0.976918705
294	0.9760879006
295	0.9737744666
296	0.9708301374
297	0.9693683523
298	0.9681523043
299	0.967362613
300	0.9658523212
301	0.9648299666
302	0.9628605009
303	0.9607249895
304	0.9584667768
305	0.9574895247
306	0.9558600224
307	0.9540335473
308	0.9512433651
309	0.9499429392
310	0.9477897664
311	0.9471513462
312	0.9449197975
313	0.9437899079
314	0.9412159142
315	0.9406043927
316	0.9388499673
317	0.9378021925
318	0.9349779884
319	0.934219519
320	0.9312983368
321	0.9309955011
322	0.9275368764
323	0.9264395944
324	0.9256532592
325	0.9233028265
326	0.9213802564
327	0.9201658325
328	0.9186875452
329	0.9175154252
330	0.9172399618
331	0.9155706645
332	0.9149925668
333	0.912853856
334	0.9112288027
335	0.9096301357
336	0.9074391129
337	0.906538807
338	0.9044825827
339	0.9017635862
340	0.9009368009
341	0.8995448725
342	0.8986114512
343	0.8978977919
344	0.8969489845
345	0.8944726075
346	0.893830204
347	0.8922413675
348	0.8911705123
349	0.8904391993
350	0.8890746294
351	0.8880109729
352	0.8864240453
353	0.884982035
354	0.8842016041
355	0.8830398061
356	0.8808319876
357	0.8797588929
358	0.877925051
359	0.8765343472
360	0.874826544
361	0.8740906361
362	0.8719965185
363	0.8699915853
364	0.867700296
365	0.8662198201
366	0.8646092202
367	0.8639133333
368	0.8634857946
369	0.8625975325
370	0.8621423363
371	0.8601538862
372	0.8596186323
373	0.8591176983
374	0.8586798101
375	0.8576393695
376	0.8561863445
377	0.8544782037
378	0.8539790349
379	0.8516713602
380	0.8514497094
381	0.8510578265
382	0.8502112284
383	0.8497795876
384	0.8490183895
385	0.8482174476
386	0.847011029
387	0.8464535194
388	0.8449795871
389	0.8446422809
390	0.8430895571
391	0.8423858961
392	0.841324014
393	0.8406900765
394	0.8395066603
395	0.838506292
396	0.8379969173
397	0.8376620258
398	0.8365051128
399	0.8347677709
400	0.8346397144
401	0.8321873788
402	0.8320756621
403	0.8311350257
404	0.8303056298
405	0.8293099642
406	0.8271873465
407	0.826199835
408	0.8249218766
409	0.8230620788
410	0.8221323759
411	0.8213272499
412	0.8207488385
413	0.8196669945
414	0.8177891754
415	0.815972547
416	0.81560878
417	0.8143258359
418	0.8135591132
419	0.8122526269
420	0.811593233
421	0.8103971825
422	0.8091333287
423	0.8064246679
424	0.8053006988
425	0.8042704312
426	0.8021743652
427	0.8013320871
428	0.7993095571
429	0.798659631
430	0.7973878887
431	0.7968231613
432	0.7955573187
433	0.7952159802
434	0.7945963856
435	0.7935937094
436	0.7919060492
437	0.7916616274
438	0.7896040345
439	0.7882327687
440	0.7870321032
441	0.7860332103
442	0.7850908077
443	0.7843823792
444	0.7831838641
445	0.782564751
446	0.7811060085
447	0.7780423961
448	0.7773831734
449	0.7755786656
450	0.7750633845
451	0.7746655096
452	0.7736459938
453	0.7734257085
454	0.7724719036
455	0.7718664055
456	0.7711976768
457	0.7694712966
458	0.7679946969
459	0.7677620149
460	0.7667040647
461	0.7654342624
462	0.7652858213
463	0.7647463512
464	0.7632755435
465	0.7622147536
466	0.7617188678
467	0.7605732964
468	0.7579207906
469	0.7563724154
470	0.7547216642
471	0.752585586
472	0.7509261516
473	0.749188576
